DATE,BLOCK,PLOT,BURNED,RODENTS,TRANSECT,SPECIES,1,2,3,4,5,6,7,8,9,10,11,12,mean,Orange,Density (m2)
2013,3,US,U,S,3,LUPI,0,0,0,0,1,0,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,3,US,U,S,3,ERIN,0,0,0,0,0,2,0,0,0,0,0,0,0.166666667,N,1.333333333
2013,3,US,U,S,3,UKRT,0,0,0,0,0,0,0,0,0,0,1,0,0.083333333,N,0.666666667
2013,3,US,U,S,3,ERCI,0,0,0,0,0,0,0,0,0,0,1,0,0.083333333,N,0.666666667
2013,4,BN,B,N,1,BRRU,5,7,5,8,15,0,8,2,8,5,5,2,5.833333333,Y,233.3333333
2013,4,BN,B,N,1,SCAR,0,2,0,5,0,6,0,3,0,0,0,1,1.416666667,Y,56.66666667
2013,4,BN,B,N,1,BRTE,2,0,0,0,0,0,0,0,0,0,0,0,0.166666667,N,1.333333333
2013,4,BN,B,N,1,ERCI,0,0,2,0,0,0,0,0,0,2,0,0,0.333333333,N,2.666666667
2013,4,BN,B,N,1,ASTR,0,0,0,0,0,1,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,4,BN,B,N,1,UKRT,0,0,0,0,0,0,0,1,0,0,0,0,0.083333333,N,0.666666667
2013,4,BN,B,N,2,BRRU,0,13,0,8,19,16,14,6,18,11,0,9,9.5,Y,380
2013,4,BN,B,N,2,SCAR,1,0,3,4,0,0,4,1,1,0,6,0,1.666666667,Y,66.66666667
2013,4,BN,B,N,2,BRTE,0,0,0,0,1,1,1,0,0,0,0,0,0.25,N,2
2013,4,BN,B,N,2,ERCI,0,0,1,0,1,1,0,0,0,0,0,4,0.583333333,N,4.666666667
2013,4,BN,B,N,2,ALAL,0,0,0,0,0,0,0,0,0,3,1,0,0.333333333,N,2.666666667
2013,4,BN,B,N,3,BRRU,15,38,13,9,4,10,19,21,4,23,3,0,13.25,Y,530
2013,4,BN,B,N,3,SCAR,5,2,1,1,0,8,7,1,1,0,4,6,3,Y,120
2013,4,BN,B,N,3,STELL,0,0,0,1,0,0,0,0,1,0,0,0,0.166666667,N,1.333333333
2013,4,BN,B,N,3,ERCI,0,0,0,0,0,1,3,2,1,5,2,0,1.166666667,N,9.333333333
